breed,count
Yorkshire Terrier,4391
Shih Tzu,4022
Chihuahua,2961
Maltese,2221
Labrador Retriever,2132
Labrador Retriever Crossbreed,1863
American Pit Bull Mix / Pit Bull Mix,1839
Havanese,1308
Pomeranian,1281
American Pit Bull Terrier/Pit Bull,1271
Shih Tzu Crossbreed,1245
Chihuahua Crossbreed,1179
Beagle,1033
German Shepherd Dog,1026
Golden Retriever,976
Poodle Crossbreed,897
Shiba Inu,883
French Bulldog,866
Jack Russell Terrier,860
Terrier mix,844
Cavalier King Charles Spaniel,801
German Shepherd Crossbreed,784
Maltese Crossbreed,741
Yorkshire Terrier Crossbreed,720
Cocker Spaniel,717
Siberian Husky,715
Pug,698
"Poodle, Toy",691
Poodle,633
Boston Terrier,626
"Poodle, Miniature",624
Goldendoodle,608
Beagle Crossbreed,602
Australian Shepherd,592
Bichon Frise,580
Labradoodle,546
Morkie,510
Miniature Pinscher,459
Terrier Crossbreed,458
Boxer,448
"Poodle, Standard",447
"Bull Dog, English",444
"Schnauzer, Miniature",438
Puggle,418
American Staffordshire Terrier,416
Dachshund,403
Dachshund Smooth Coat,356
Maltipoo,353
Miniature Schnauzer,336
Lhasa Apso,324
Dachshund Smooth Coat Miniature,299
Rottweiler,294
Pekingese,285
"Bull Dog, French",278
Bichon Frise Crossbreed,269
Cairn Terrier,238
Pomeranian Crossbreed,238
Wheaton Terrier,227
West High White Terrier,213
Dachshund Crossbreed,212
Cocker Spaniel Crossbreed,210
Border Collie,191
Papillon,185
Australian Cattledog,182
"Dachshund, Long Haired Miniature",181
Pembroke Welsh Corgi,172
Miniature Australian Shepherd,168
Boxer Crossbreed,166
Staffordshire Bull Terrier,166
American Eskimo dog,159
Jack Russell Terrier Crossbreed,157
American Bully,152
Shetland Sheepdog,151
Doberman Pinscher,144
Border Collie Crossbreed,144
Rat Terrier,141
"Welsh Corgi, Pembroke",140
Shepard Crossbreed,137
Cockapoo,129
Rhodesian Ridgeback,129
Silky Terrier,126
Chow Chow,125
Italian Greyhound,123
Pointer,122
Border Terrier,122
Brussels Griffon,122
Siberian Husky Crossbreed,121
Bernese Mountain Dog,121
Vizsla,120
West Highland White Terrier,118
